,non,owner
1,1481,44
2,1683,34
3,1629,29
4,1674,36
5,1646,39
6,1645,28
7,1356,37
8,1354,21
9,1288,86
10,1164,75
11,1572,33
12,1564,32
13,1292,30
14,1882,35
15,1645,38
16,1586,41
17,1488,29
18,1480,94
19,1368,96
20,1647,47
21,1360,35
22,1602,31
23,1666,33
24,1674,30
25,2058,32
26,1663,36
27,1305,98
28,1114,72
29,1267,36
30,1383,44
31,1400,41
32,1681,39
33,1959,29
34,1261,38
35,1781,34
36,1620,28
37,1436,116
38,1059,51
39,1258,43
40,1453,40
41,1403,27
42,1371,45
43,656,15
44,759,30
45,1447,32
46,1242,36
47,804,27
48,706,107
49,500,71
50,301,34
51,207,26
52,44,38
