,days,hour,comments
0,Sun,0.00 ~ 1.00,13
1,Sun,1.00 ~ 2.00,33
2,Sun,2.00 ~ 3.00,20
3,Sun,3.00 ~ 4.00,6
4,Sun,4.00 ~ 5.00,3
5,Sun,5.00 ~ 6.00,10
6,Sun,6.00 ~ 7.00,8
7,Sun,7.00 ~ 8.00,3
8,Sun,8.00 ~ 9.00,30
9,Sun,9.00 ~ 10.00,34
10,Sun,10.00 ~ 11.00,59
11,Sun,11.00 ~ 12.00,85
12,Sun,12.00 ~ 13.00,102
13,Sun,13.00 ~ 14.00,85
14,Sun,14.00 ~ 15.00,47
15,Sun,15.00 ~ 16.00,79
16,Sun,16.00 ~ 17.00,52
17,Sun,17.00 ~ 18.00,58
18,Sun,18.00 ~ 19.00,87
19,Sun,19.00 ~ 20.00,28
20,Sun,20.00 ~ 21.00,43
21,Sun,21.00 ~ 22.00,38
22,Sun,22.00 ~ 23.00,51
23,Sun,23.00 ~ 24.00,45
24,Mon,0.00 ~ 1.00,45
25,Mon,1.00 ~ 2.00,30
26,Mon,2.00 ~ 3.00,22
27,Mon,3.00 ~ 4.00,11
28,Mon,4.00 ~ 5.00,2
29,Mon,5.00 ~ 6.00,27
30,Mon,6.00 ~ 7.00,52
31,Mon,7.00 ~ 8.00,43
32,Mon,8.00 ~ 9.00,64
33,Mon,9.00 ~ 10.00,114
34,Mon,10.00 ~ 11.00,370
35,Mon,11.00 ~ 12.00,326
36,Mon,12.00 ~ 13.00,197
37,Mon,13.00 ~ 14.00,182
38,Mon,14.00 ~ 15.00,278
39,Mon,15.00 ~ 16.00,359
40,Mon,16.00 ~ 17.00,273
41,Mon,17.00 ~ 18.00,202
42,Mon,18.00 ~ 19.00,184
43,Mon,19.00 ~ 20.00,122
44,Mon,20.00 ~ 21.00,103
45,Mon,21.00 ~ 22.00,142
46,Mon,22.00 ~ 23.00,136
47,Mon,23.00 ~ 24.00,75
48,Tue,0.00 ~ 1.00,83
49,Tue,1.00 ~ 2.00,57
50,Tue,2.00 ~ 3.00,39
51,Tue,3.00 ~ 4.00,25
52,Tue,4.00 ~ 5.00,31
53,Tue,5.00 ~ 6.00,16
54,Tue,6.00 ~ 7.00,42
55,Tue,7.00 ~ 8.00,62
56,Tue,8.00 ~ 9.00,104
57,Tue,9.00 ~ 10.00,182
58,Tue,10.00 ~ 11.00,225
59,Tue,11.00 ~ 12.00,270
60,Tue,12.00 ~ 13.00,247
61,Tue,13.00 ~ 14.00,234
62,Tue,14.00 ~ 15.00,370
63,Tue,15.00 ~ 16.00,553
64,Tue,16.00 ~ 17.00,350
65,Tue,17.00 ~ 18.00,251
66,Tue,18.00 ~ 19.00,207
67,Tue,19.00 ~ 20.00,161
68,Tue,20.00 ~ 21.00,111
69,Tue,21.00 ~ 22.00,150
70,Tue,22.00 ~ 23.00,110
71,Tue,23.00 ~ 24.00,87
72,Wed,0.00 ~ 1.00,61
73,Wed,1.00 ~ 2.00,43
74,Wed,2.00 ~ 3.00,20
75,Wed,3.00 ~ 4.00,204
76,Wed,4.00 ~ 5.00,22
77,Wed,5.00 ~ 6.00,19
78,Wed,6.00 ~ 7.00,21
79,Wed,7.00 ~ 8.00,33
80,Wed,8.00 ~ 9.00,106
81,Wed,9.00 ~ 10.00,172
82,Wed,10.00 ~ 11.00,241
83,Wed,11.00 ~ 12.00,292
84,Wed,12.00 ~ 13.00,271
85,Wed,13.00 ~ 14.00,184
86,Wed,14.00 ~ 15.00,308
87,Wed,15.00 ~ 16.00,295
88,Wed,16.00 ~ 17.00,479
89,Wed,17.00 ~ 18.00,437
90,Wed,18.00 ~ 19.00,180
91,Wed,19.00 ~ 20.00,123
92,Wed,20.00 ~ 21.00,101
93,Wed,21.00 ~ 22.00,88
94,Wed,22.00 ~ 23.00,104
95,Wed,23.00 ~ 24.00,70
96,Thurs,0.00 ~ 1.00,47
97,Thurs,1.00 ~ 2.00,44
98,Thurs,2.00 ~ 3.00,28
99,Thurs,3.00 ~ 4.00,8
100,Thurs,4.00 ~ 5.00,24
101,Thurs,5.00 ~ 6.00,11
102,Thurs,6.00 ~ 7.00,14
103,Thurs,7.00 ~ 8.00,31
104,Thurs,8.00 ~ 9.00,62
105,Thurs,9.00 ~ 10.00,173
106,Thurs,10.00 ~ 11.00,241
107,Thurs,11.00 ~ 12.00,356
108,Thurs,12.00 ~ 13.00,278
109,Thurs,13.00 ~ 14.00,227
110,Thurs,14.00 ~ 15.00,299
111,Thurs,15.00 ~ 16.00,305
112,Thurs,16.00 ~ 17.00,279
113,Thurs,17.00 ~ 18.00,314
114,Thurs,18.00 ~ 19.00,210
115,Thurs,19.00 ~ 20.00,127
116,Thurs,20.00 ~ 21.00,119
117,Thurs,21.00 ~ 22.00,174
118,Thurs,22.00 ~ 23.00,105
119,Thurs,23.00 ~ 24.00,89
120,Fri,0.00 ~ 1.00,60
121,Fri,1.00 ~ 2.00,55
122,Fri,2.00 ~ 3.00,21
123,Fri,3.00 ~ 4.00,21
124,Fri,4.00 ~ 5.00,36
125,Fri,5.00 ~ 6.00,24
126,Fri,6.00 ~ 7.00,16
127,Fri,7.00 ~ 8.00,71
128,Fri,8.00 ~ 9.00,101
129,Fri,9.00 ~ 10.00,171
130,Fri,10.00 ~ 11.00,235
131,Fri,11.00 ~ 12.00,229
132,Fri,12.00 ~ 13.00,247
133,Fri,13.00 ~ 14.00,236
134,Fri,14.00 ~ 15.00,273
135,Fri,15.00 ~ 16.00,462
136,Fri,16.00 ~ 17.00,313
137,Fri,17.00 ~ 18.00,251
138,Fri,18.00 ~ 19.00,105
139,Fri,19.00 ~ 20.00,137
140,Fri,20.00 ~ 21.00,60
141,Fri,21.00 ~ 22.00,114
142,Fri,22.00 ~ 23.00,72
143,Fri,23.00 ~ 24.00,87
144,Sat,0.00 ~ 1.00,36
145,Sat,1.00 ~ 2.00,76
146,Sat,2.00 ~ 3.00,10
147,Sat,3.00 ~ 4.00,8
148,Sat,4.00 ~ 5.00,14
149,Sat,5.00 ~ 6.00,6
150,Sat,6.00 ~ 7.00,12
151,Sat,7.00 ~ 8.00,12
152,Sat,8.00 ~ 9.00,21
153,Sat,9.00 ~ 10.00,25
154,Sat,10.00 ~ 11.00,45
155,Sat,11.00 ~ 12.00,34
156,Sat,12.00 ~ 13.00,38
157,Sat,13.00 ~ 14.00,25
158,Sat,14.00 ~ 15.00,34
159,Sat,15.00 ~ 16.00,40
160,Sat,16.00 ~ 17.00,52
161,Sat,17.00 ~ 18.00,58
162,Sat,18.00 ~ 19.00,32
163,Sat,19.00 ~ 20.00,58
164,Sat,20.00 ~ 21.00,29
165,Sat,21.00 ~ 22.00,65
166,Sat,22.00 ~ 23.00,62
167,Sat,23.00 ~ 24.00,27
