id,year,inCitations,author_id,author_name
00ddd57a836d26bde0a509aaf8e524f279fa2c0e,2005,0,2459962,Gilles Daniel
00ddd57a836d26bde0a509aaf8e524f279fa2c0e,2005,0,2184913,Lev Muchnik
00ddd57a836d26bde0a509aaf8e524f279fa2c0e,2005,0,1679783,Sorin Solomon
00f1dac0133b4bfcf4993ca25eeaaa4714a4e23b,2006,3,1706221,Dominique Méry
00f1dac0133b4bfcf4993ca25eeaaa4714a4e23b,2006,3,8729708,Stephan Merz
019f83818663a71a6afbf07e5ae8da9b4d84c6e7,2015,0,1831469,Hammurabi Mendes
019f83818663a71a6afbf07e5ae8da9b4d84c6e7,2015,0,1744502,Maurice Herlihy
01ce61ecfac8a7daf969262e56e7a05cc5cfc82e,2014,2,1766389,Jian Xu
01ce61ecfac8a7daf969262e56e7a05cc5cfc82e,2014,2,3259843,Thanuka Wickramarathne
01ce61ecfac8a7daf969262e56e7a05cc5cfc82e,2014,2,2273484,Erin K. Grey
01ce61ecfac8a7daf969262e56e7a05cc5cfc82e,2014,2,1700639,Karsten Steinhaeuser
01ce61ecfac8a7daf969262e56e7a05cc5cfc82e,2014,2,2652384,Reuben P. Keller
01ce61ecfac8a7daf969262e56e7a05cc5cfc82e,2014,2,2562005,John M. Drake
01ce61ecfac8a7daf969262e56e7a05cc5cfc82e,2014,2,1681386,Nitesh V. Chawla
01ce61ecfac8a7daf969262e56e7a05cc5cfc82e,2014,2,2329933,David M. Lodge
01e820ac6d67f5d3edb954b59a361f27f9aae2a2,2013,0,2762441,Julián Monge-Nájera
01e820ac6d67f5d3edb954b59a361f27f9aae2a2,2013,0,2209537,Karla Vega Corrales
0390e6f1a0680e1b169583905fc99030b7ce79c9,2015,1,2993351,Venkat Chandar
0390e6f1a0680e1b169583905fc99030b7ce79c9,2015,1,1908016,Aslan Tchamkerten
03e30fc3e921ff3b29439e773c85d071d12a5ff1,2014,3,1953787,Manh Hong Duong
03e30fc3e921ff3b29439e773c85d071d12a5ff1,2014,3,2928820,Han The Anh
059c33f2c5ea4fbecfa01f2eb1c77f678447ca5e,2015,0,2135989,V. N. Gorbachev
059c33f2c5ea4fbecfa01f2eb1c77f678447ca5e,2015,0,2164425,E. M. Kaynarova
059c33f2c5ea4fbecfa01f2eb1c77f678447ca5e,2015,0,2651950,I. K. Metelev
059c33f2c5ea4fbecfa01f2eb1c77f678447ca5e,2015,0,2982138,O. V. Pavlovskaya
05a6755a82d46dfca8a47c32f8c5c84ef8fbb7e7,2009,5,2724097,Gene Golovchinsky
05a6755a82d46dfca8a47c32f8c5c84ef8fbb7e7,2009,5,1804229,Scott Carter
05a6755a82d46dfca8a47c32f8c5c84ef8fbb7e7,2009,5,7457467,Jacob T. Biehl
062c44bf60206ba0a6b5dc7d5bf46381514f3cf8,2012,2,2870243,Giuseppe Cocco
062c44bf60206ba0a6b5dc7d5bf46381514f3cf8,2012,2,1727814,Deniz Gündüz
062c44bf60206ba0a6b5dc7d5bf46381514f3cf8,2012,2,2311307,Christian Ibars
0648cde87ed6b799ab9ae1146dc9a1d5a77f10b7,2016,1,,Andrew An Bian
0648cde87ed6b799ab9ae1146dc9a1d5a77f10b7,2016,1,2389094,Baharan Mirzasoleiman
0648cde87ed6b799ab9ae1146dc9a1d5a77f10b7,2016,1,7973449,Joachim M. Buhmann
0648cde87ed6b799ab9ae1146dc9a1d5a77f10b7,2016,1,3421686,Andreas Krause
06845944f3c330c5720891173f8bc203427556bb,2010,13,2516811,Neelam Srivastava
07f677914a51f1ee1d1ac9fabb9d05e2eea9f2a7,2016,2,1691982,Jihong Park
07f677914a51f1ee1d1ac9fabb9d05e2eea9f2a7,2016,2,1702172,Mehdi Bennis
07f677914a51f1ee1d1ac9fabb9d05e2eea9f2a7,2016,2,1692004,Seong-Lyun Kim
07f677914a51f1ee1d1ac9fabb9d05e2eea9f2a7,2016,2,1719016,Mérouane Debbah
08cddfb0e082f05197e327222d46b2d45342c347,2008,4,2729872,Dominik Schatzmann
08cddfb0e082f05197e327222d46b2d45342c347,2008,4,2578183,Martin Burkhart
