id,authors,year,inCitations,outCitations
110d1f578d7447d5b6af9657da30301b15764d35,"[{'ids': ['2696924'], 'name': 'Neil Iscoe'}]",1993.0,[],"['6bfdeb68af6a80ee12cb2ab47dddb855743e2bd7', 'd11abe8dc60e60f2e1822d3338607f4492ac9a3e', '5afe640cb50a656f88fc3fa4507903bfab1e03de', 'a2ec560240b3eb2a7db6f28ed8ef92438374bd28']"
186472142401cba3328a6a7cbeded10467ef0687,"[{'ids': ['1704858'], 'name': 'Luciano Baresi'}, {'ids': ['1683524'], 'name': 'Sam Guinea'}]",2006.0,['01a806ca75376bfd00c26452ec2816570f11fd2e'],"['1cc1765a7512f482623dd02b12cbf868b3672f75', '2b373ef7ca3833ad667469b81b3c2631ef59f73e', '5f1fba2e11b3177d283da9f0fe2b1e31d39a616f', '3706aa2f972eaffe27118446f9ac63b67b987935', '200a791ee047e56dabe155b6d01adfd49b2f354f', '6799547aaf7ffd3da64c67683af45ee8254f8231', '94e735fb5092ff17a5d9482e5f1e983cbf75812e', '15cda6d34f81a37d64da3a18e50c412a49db7030', '1e884a47513b63a0fb81452772829ad4f8129e64', '1e2a15785fafead992475753cd6d6c93c3ecf169', '7ce3338f997d406c81493f4bc6ad6ceb6549e265', '4c2bfd9ba7cd5e493e7d3dad33616254df0f7475', 'c25d70366d2edaf597f82bb03312b31ba9045cb5', '08c9802b0d9388eabaf365a66da93734bed16015', 'da342e9449d68e04c810098f977b8b389fa9bf3a', '09570909da96d17e043664db877cad11e3a082fd', '7f4a53d796fccab633f3d4fa9fc4417204bee0d0', 'e0502c3bd9cac1b601251247bba0af3ef67eabbb', 'd28632db0b53fee014a8f7a66ad3a932acb00a21', '1cd2f823461f3c41d8c6e5271e76e937bae253ad', 'aab8f4f4388932ad6810c90a3ddaa142d6447593', '750cedd1847a0c4156840973994e25df7a7fda64', '25fb34cd1e7126010791314675014364ce37129d', '257983994533d6832a703861173cc301bbef60f9', '0ebe7b4a6d858b42c8f5f4604b34dbc059091d78']"
2814e8636cff02e01a945170c96d4e759275e47e,"[{'ids': ['2527608'], 'name': 'Barketullah Qureshi'}, {'ids': ['3000394'], 'name': 'Mohamed Othman'}, {'ids': ['7652884'], 'name': 'Subramaniam Shamala'}, {'ids': ['3178336'], 'name': 'Nor Asila Wati'}]",2011.0,[],"['a794d77f5d4452c86d622b82475ab79c09355dfe', '1eadb17ea58c0bf53e3dd46643ae1a0fa96dc403', 'c7aa8436c6c9536d53f2fcd24e79795ce8c6ea12', '97d48782c71bffdf8f449e40247b85d16c327e81', '00602339eeb2c388c237990bc1517c6031e513ad', '440f4721b8d47b9d03a3467bf2bf7e522641f1dc', '4886b4b12d01d547c440823c2bff46e6aa9a0a91', '6aba884d517ab35a63e74da36d20207965eb7e0d', '1b598280387034d20552534cd280554cbaf5b5c6', 'eb63f597c1c73144d9b10b6491c1e1ad215ae6dc', '9ee0feb35073865f01cff348e3cfdac7ad273126', 'e88114d433abed4890983bc44c4924b3fa137320', 'e23188797582cc7f01030d6895a1f5c921ea2452', '805d0da469da6ba7571ee75732ab66202aaea9e0']"
36641cd6682f6a3eedcabdd31390aafedcf53c00,"[{'ids': ['3524369'], 'name': 'Ning Chen'}]",2011.0,[],"['d96909feaf1a4655c4c2f28c1e80748016a2cca4', '8fae2ae87c03e62ea485353bff08575828ab1814', 'a592dccb33becb2b61b7fe55f6630b726cdab18f', '1d441ef596b72af09e3405132e4ba0563b8840a4', 'cff8089b78fd75e820b09bdf91ac64f7e99284ec', 'd6ddd7475af05337dfa1450229bfec231cf39381', '4f789439fe5a121e6f47453d8a95ec733baca537', '063586121decdcbbdbb47404f2654806d9fc2ceb', '3960dda299e0f8615a7db675b8e6905b375ecf8a', '02e634a4355a4dd501bd43cf950e3666d99d496c']"
437aa3f93419e9415ccde26924b2a8300c259227,"[{'ids': ['1774800'], 'name': 'Romina Torres'}]",2013.0,['799637d1ce6bd5b788a99c41a662f5279fd017b7'],"['77717c49d542ec1f7c3ce22dd31f42e161f86005', '09e37dabeab3bb8e827aaa1a6d4052903a1a9d7d', '5d5e67cf896e173f6704e2c7bca18e758ec76255', '4216fedb5499e306dd013c458e4fdab61d1229f5', '12965802d2c962b03acc03aa1cb9af6649e75ef3', 'c7d18e102abdb267b231951b485894beec50d633', '77161b08f9a2f1e26691b82147ff7565d43d0799', 'c91b96ef0d1a5d2ebbb65c2af7c889945023c121', 'c374b876152725b9f1d9e9fc703bac70d36872a3', '15698cdb4dc1c176b35bbbb56bfa2ea6a61a7eca', '7735aa45fe9ac79b6e5b19013d0259baed1489d2', '4ccc553d7774748be878002381877d70932b2717', 'f26cbe40db22c9b99fe95d368c3aff94beaef488', '9962c55c185077370ba5b61cf43de98aaf99b5cd', 'ad4adc973900878c1b52466794f4a887f996762c', '4d0877a28ea3692b2c0955a11d2490d17efbb2d0', '3c111e31a8a971982520adf51945a402d13ce4da', 'b0fd43076db75f315349ef1eed9bd44794b4b9f3', '554fb2551d334237633bc18068650ff9d11dbe0b', 'f8d4fa30e43d7e744d224f350d78bb0e0fb1e8e8']"
466af0d4ddf960fdaf74af66aeb501762a7c916a,"[{'ids': ['1884064'], 'name': 'Michael Pradel'}, {'ids': ['2620528'], 'name': 'Parker Schuh'}, {'ids': ['1727202'], 'name': 'Koushik Sen'}]",2015.0,"['30228ff967dbdc880c386d6220d1e4173d9d63fe', 'f801f962c895d5c606cb52db85f099a4ed8c34e2', 'b697fd12c2ac267bf64b802b134f3f7ce0127d54', '55f0e7cd10c26636d382e850c4a33e60d1125934', '7915125f1b90cd43120cca127cfb71e1c565a8a6', '7f80e0c58b9b9ff61a2ad3dadde50172e3c3a49d', '661961b18522861f6b7c2322d462cebd3581deba', 'dcee9da9499ae4cb0378168b92c229d28b3ba16c']","['c85086843e6c90a6f7382334a965be546b0748fe', '1b424497a13d40055ec6e0d6c1b2fdcc88a7320d', '786a82e77439c970a672aed8b2fc67dfa9696f5a', '0fb46e271eebd1023c9682c1ef13300c7fe1555b', '477d0e9e02968be9a9d728e34ecf71aaa409216f', 'c03512277e95b7055b2fb13b662916d0ebd74cfc', '5a0ecf91ac0682ac7992fb0f0bf88069e9cfeab6', '9b5093c8b17aeb82f5c889021f979cb85645dc08', 'd846ddcf52f543418f11ab3f0235b09a3880f99e', '2760a433d6f87294cdfb5605df03ea3bd2b35e76', '411dd7aea2ca6220fed8c949e35ef3f9da4eabaf', '2d81b844654806778d3cafda59715183a6659a41', '320e9f78a227fd91a349dcf4b754c026cd037418', '90d41056b219e11a128595a5c1f3eae93c8a257d', '4e24aee54000a7a0d9149478f032d807c71b42b1', '3633f07fa75a96b3000ec2016445d37da00307a9', '14b750a0fd5a13f7494e4abf9b97718ff558f508', '6911b420bb4eb3004dbb6a89c94dfd524bcf0074', '77af415849b547568371be66abefe8bf7f7162d7', 'f47f7dbb3c95f30fa02f6139e699f8c265f005f5', '98ed78d119be90bf594e43bf4b8e31c27140664c', '30228ff967dbdc880c386d6220d1e4173d9d63fe', '6abd933f15bb853aebd129e313474865b53a5fed', '7eb04479154dac633c5b71e4d59804e76dc5d809', '582169fd0e91fb30ddbc5b969d7d89e8a69b3237', '238e26b46501c50de693a8e18feb922c4edf5c58', '01bee24cc686bf44f1dc501378bbfb8bf1b10921', '541b6fd22a0b2b93fee541169a9a19fb3212e6b8', '099bfc73c4c7ce0f7f10288ed6103f8cdec88d91', '2e383723329b033b9f57f09956dae39b6d13d341', '02cd7aae334e7556c03f4543e2c30e4eaf1fe826', '12cb8263e46a01b5136d87bd2509aac0efbf414a', '6a96d25b8a826159f53365e3f99d5a910cd6604a', '1e9e3d2f3c24bd71d74aea85c18ab0b8afb23ec2', '6c7adfdfaae6776bff2c443b3c405606fc89d532', '1469b0cbb109c2a788a346dd0480070de8334dea', '6c218ed4ca787d4b429b6847d954eeae064c2233', '5e3f8c2ba2fb225c29ba343565d52b9661e7198e', '56780b4ea5ef2980a111b66252388d71e8316559']"
493ecf852cfebe5b9ed90dcf16b1b77ab297437a,"[{'ids': ['1721282'], 'name': 'Dennis B. Smith'}, {'ids': ['1792854'], 'name': ""Liam O'Brien""}, {'ids': ['2495220'], 'name': 'John Bergey'}]",2001.0,"['052a3ce11f924ff578c6f36705f7cc619c86d009', '700e866ca5bbd9519d168d3ddfb02158e2f2b3dd', '0bb70ff6758eed01755980d2462cd591b054f079']",['53e43479e945ec365fe3527d1096f2a6bf937c5c']
7d14ad6a14a7e26696eac634faf5bd1a7af43daa,"[{'ids': ['1745046'], 'name': 'David Coppit'}, {'ids': ['1720214'], 'name': 'Kevin J. Sullivan'}]",2000.0,"['5caaa0a9655d4c56446965a41fc5f98b6905adf4', '8dea28846f21725cae1591d42e6aa0667a0a85e1', '92ef504d84eb2dd74781d55f0dea7fb2300e74de', '0955fe7387123e771a005b3cdbf3bf7d1d1892e2', '5fbfcd23b507f6fa5b38b1c604bbc133277856a0', '4d6ff734e6aa320f76c156e4dfd9baed8ae6c9da', '50b59521b7e88be36be56aa7cd50a7d8d1b882ea', '63061d3e9d9d3c16051e91af1ba062b6c12248ce', '2789a84f1a15c41b79d37344cc61bb871cd73c9e', '29a90f11ebaa6ceb3a6f831d7658d5dcc2f86510', '1ecfcc9bf20e523820ab6b874b972d5b2b562edf', 'd8eaa3d7e68316a80e021e27698f26c0473bbaf6', '130e11c158305a8aa6950e5fb6234eb4fea252aa', '35bf435411be36c8e9849953b5ece7ec28206380', 'a958fc246e108b1629a2cc1040e3a1470bc7eed6', '23e6dd25ede9e7d510551027791cb88fb860a00b', '8cff03019d818d7999e0b0ddad492d2ff4d2db65']","['6adcd6a9880a87aa61567ab83c346793acdb138d', '8833c4ff4c1920a65c9fb73f5ebc06c7576ed778', '0ac9e7fca11d9af3e3fa3f8fb353fba7eba85ebe', 'ad082fff78356c40e5b680c19d85ef61b50e4491', '10fb3e2d8477dc5cf2923f6d86a3ecb9e9731bba', '964d156e0044d11ec1e78e6fd69c36a8532fd97c', '465d062c8c64510ed074357a5d4a8ec44b11c2b4', '40fd51fdca2ae4e1b8e1a37f701177b8de8719f1', 'a01735bba182b94c7a890ff78f805d9dc0c453ab', '4180d00f5f5139012bac09bc3423a198d4497125', '98d18be8915cd317aa33290e43530d48748a4643', '5c5ebc37be3bf1ed7aeb94b064146d75d5002a5d', 'ac68121d6b3c9da50951556a57e1033b5b846ebd', '078b8e3b06ceead9c6b24d0aba1992e603f3ce3e']"
866c69cea5ffc843b1eea4705ad23661bbbfecd2,"[{'ids': ['2534199'], 'name': 'Cyrus Omar'}, {'ids': ['2891455'], 'name': 'Jonathan Aldrich'}, {'ids': ['2633457'], 'name': 'Richard C. Gerkin'}]",2014.0,"['661cc117963d9e70f3664145e4bb876ad0d7e370', '472ef30c654eb4a92973fc3ace873bbad9c090fa', '7a82cd510abfdcc9fcb1fe5a2364c917c5f3ecc0']","['dd84540f90a1601756d2838d0eb91838d043cb7b', 'c76b37890e91ad55e638f42de7ff1d03155ee992', '409d3f740518eafcfaadb054d9239009f3f34600', '15c55228d48d030de51d55af710ff34e1276fe4a', 'cec072da051e87d737a26bc19d5b755042e44b64', '4040f787dd48928a676806664052fc9560320e47', 'cd7966fda005604a2fb5d6d2cd1cbb204e620798', '13aceffeafdc274f852f5afdf565651f02843cd2', '4b9f6c59992c0b18891d067631212dc3c3af1d2b']"
88cb4108abb2978c0cbfdea8d2d01603821951c2,"[{'ids': ['2656635'], 'name': 'Nikolaus Huber'}, {'ids': ['1688877'], 'name': 'Steffen Becker'}, {'ids': ['3292551'], 'name': 'Christoph Rathfelder'}, {'ids': ['2853393'], 'name': 'Jochen Schweflinghaus'}, {'ids': ['1729455'], 'name': 'Ralf H. Reussner'}]",2010.0,"['766ee7597a495f53c74cf5d25f00a3ac714ab760', '2bbd2d05e8a7fedd72f1c1b00579a5348f8d0a2d', '82ff15023a13caa62d9f487edeaf82cdbfbb70c9', '82f72263d45183e4a5e175a461f8fff2c9ece967', '1eb610f9b25e74f62f769b12b505d125a5a6396d', 'a47fa46fba9c86132362cf8efef23b5ff844ae73', 'f058986a11a13ee56fb6eaa3513c6a2e6d85678e', '14e7b44732cf825a2d61b0d6763baf51a0575fd3', '307fc5bbd72c05d779d87d1f0aaf0e28a76282c9', '199fcf807c7d626c29ba6c63a5064ec170594754', 'a65b2079aa8f30fff70a4944831d20ad47b124d5', '9fccff307df8c5356c0f9139df07aad17c12233a', '730f806e7d028a70e8feb4c79960412e1ccfc27c', '7caf8648f312d028a7653b8d1c0b41604fc7be28', '5340bf548158985d634908bbb194633c033aa3c0', '59c1093f4c50dd0ea707866eb85b5bbf04cbb7b5', '0478828081872c101eb7190fb13b30a131203fbb']","['361954b720393afd70f27d8c932f8b0a5c539700', '6590d25cfcc1ee33fce4fab148dc3acedf4f1897', '953840274d12fbe5bd66f10ab579fb19c745bd6a', '147d4abbabaa98c0ca086ac0bb43055815cdd8f0', '430b44723ec4e8ac653db8d843962aee4ccc9efe', '121493b2a85c00bf4d162b05242740358dd9b242', '3544e9c91b42485e0f1e45849173ab0a421045f6', '5f3cf3bebfc87daad286052768b42d77e802146d', 'baad6b7866a18032d91e353b231cc6535bece27d', '93399439a990ca45f9c76efcc0d60f41142b9543', '2fdcc2ec66375bddf9eb414963fea111dbf05b1b', 'f8fe8d3c24fdc4a581fa439c63ce32fd164c0906', 'e94c515c17587bae41bb460a2c223c65d400d9b1', 'b2cb1f5da8723c2f2a8d962eab075da1fd236aa6', '5c8f104ed3ea6e7f436c86467b75f58996486bed', '254b09b99d0759fdd7718783e73a8f38ac3d46cf', '19a9250884bcb972d00aa14fd81b4054bf77f948', '751ceb03eb51017c223972e4e9ce68ffd2c8bd87', '078b8e3b06ceead9c6b24d0aba1992e603f3ce3e']"
